Chr,Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
chr1,Adam23,58.0,98.0,83.0,94.0,239.0,59.0,71.0,122.0,180.0,71.0,107.0,164.0
chr1,Adamts4,33.0,28.0,36.0,37.0,36.0,34.0,36.0,36.0,35.0,35.0,36.0,36.0
chr1,Adgrb3,292.0,575.0,684.0,211.0,2255.0,502.0,269.0,383.0,1063.0,185.0,429.0,676.0
chr1,Adhfe1,22.0,21.0,21.0,21.0,27.0,22.0,21.0,22.0,26.0,21.0,21.0,29.0
chr1,Adipor1,10.0,10.0,10.0,17.0,22.0,8.0,9.0,10.0,17.0,15.0,12.0,16.0
chr1,Adora1,39.0,37.0,40.0,47.0,58.0,28.0,38.0,35.0,43.0,41.0,67.0,39.0
chr1,Adss,21.0,23.0,22.0,23.0,30.0,21.0,22.0,22.0,22.0,23.0,25.0,22.0
chr1,Aff3,71.0,62.0,62.0,48.0,291.0,53.0,47.0,61.0,85.0,48.0,65.0,75.0
chr1,Agap1,99.0,91.0,120.0,87.0,328.0,50.0,60.0,75.0,111.0,53.0,114.0,118.0
chr1,Agfg1,80.0,94.0,116.0,96.0,196.0,97.0,112.0,101.0,145.0,87.0,122.0,146.0
chr1,Ahctf1,33.0,33.0,38.0,38.0,89.0,34.0,40.0,38.0,59.0,31.0,49.0,46.0
chr1,Aim2,2.0,,4.0,7.0,10.0,2.0,8.0,10.0,11.0,3.0,2.0,3.0
chr1,Akt3,51.0,48.0,67.0,52.0,189.0,41.0,41.0,65.0,131.0,22.0,58.0,74.0
chr1,Aldh9a1,10.0,8.0,10.0,10.0,19.0,10.0,10.0,8.0,13.0,8.0,9.0,12.0
chr1,Als2,29.0,27.0,29.0,35.0,51.0,29.0,27.0,26.0,36.0,27.0,27.0,27.0
chr1,Alyref2,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
chr1,Amer3,43.0,49.0,49.0,44.0,47.0,41.0,42.0,43.0,42.0,45.0,42.0,43.0
chr1,Angel2,29.0,42.0,43.0,48.0,65.0,33.0,43.0,42.0,47.0,42.0,42.0,53.0
chr1,Angptl1,1.0,,3.0,6.0,7.0,1.0,1.0,7.0,6.0,2.0,4.0,3.0
chr1,Ankrd39,10.0,10.0,13.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
chr1,Ankrd44,20.0,25.0,26.0,26.0,29.0,26.0,24.0,26.0,26.0,25.0,25.0,26.0
chr1,Ankrd45,37.0,46.0,43.0,43.0,61.0,45.0,41.0,40.0,45.0,42.0,40.0,44.0
chr1,Ankzf1,15.0,17.0,26.0,17.0,33.0,20.0,23.0,16.0,27.0,12.0,21.0,24.0
chr1,Aox1,23.0,24.0,24.0,26.0,28.0,25.0,25.0,25.0,28.0,23.0,25.0,27.0
chr1,Aox4,11.0,13.0,23.0,18.0,22.0,24.0,23.0,13.0,22.0,18.0,17.0,24.0
chr1,Ap1s3,4.0,3.0,10.0,11.0,12.0,3.0,11.0,13.0,8.0,8.0,4.0,9.0
chr1,Arfgef1,28.0,38.0,55.0,49.0,166.0,25.0,37.0,49.0,87.0,33.0,43.0,73.0
chr1,Arhgap30,5.0,1.0,3.0,4.0,11.0,2.0,3.0,3.0,11.0,6.0,2.0,9.0
chr1,Arhgef4,89.0,101.0,103.0,108.0,127.0,80.0,104.0,97.0,122.0,92.0,101.0,111.0
chr1,Arid5a,14.0,13.0,18.0,18.0,24.0,19.0,14.0,18.0,20.0,14.0,16.0,19.0
chr1,Arl4c,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
chr1,Arl8a,28.0,43.0,42.0,54.0,54.0,38.0,40.0,43.0,50.0,34.0,47.0,50.0
chr1,Armc9,38.0,43.0,42.0,74.0,121.0,49.0,36.0,65.0,94.0,46.0,49.0,70.0
chr1,Arpc2,22.0,37.0,24.0,38.0,70.0,47.0,38.0,50.0,52.0,33.0,47.0,35.0
chr1,Arpc5,17.0,28.0,36.0,34.0,46.0,38.0,37.0,35.0,47.0,31.0,41.0,42.0
chr1,Asb1,19.0,17.0,17.0,18.0,23.0,18.0,18.0,18.0,20.0,18.0,18.0,17.0
chr1,Asb18,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0
chr1,Asdurf,4.0,6.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0
chr1,Asic4,5.0,,5.0,4.0,6.0,2.0,5.0,1.0,5.0,3.0,2.0,5.0
chr1,Asnsd1,12.0,14.0,16.0,17.0,19.0,16.0,16.0,16.0,17.0,15.0,16.0,16.0
chr1,Astn1,90.0,101.0,116.0,57.0,414.0,74.0,62.0,68.0,189.0,63.0,99.0,124.0
chr1,Atf6,46.0,47.0,48.0,48.0,63.0,45.0,45.0,48.0,59.0,47.0,51.0,46.0
chr1,Atg16l1,27.0,52.0,57.0,58.0,109.0,48.0,49.0,45.0,74.0,27.0,56.0,87.0
chr1,Atg4b,19.0,25.0,30.0,23.0,48.0,22.0,19.0,22.0,29.0,16.0,24.0,29.0
chr1,Atg9a,27.0,36.0,41.0,37.0,54.0,40.0,33.0,31.0,34.0,24.0,38.0,43.0
chr1,Atic,15.0,15.0,15.0,16.0,44.0,19.0,16.0,17.0,21.0,19.0,27.0,23.0
chr1,Atp1a2,166.0,218.0,230.0,213.0,252.0,208.0,206.0,188.0,203.0,162.0,211.0,228.0
chr1,Atp1b1,115.0,137.0,135.0,134.0,143.0,130.0,131.0,133.0,132.0,128.0,130.0,135.0
chr1,Atp2b4,18.0,17.0,18.0,17.0,42.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
chr1,Atp6v1h,36.0,44.0,37.0,46.0,114.0,37.0,43.0,49.0,67.0,26.0,50.0,58.0
chr1,Avpr1b,,,,,,,,3.0,3.0,12.0,,
chr1,B230216N24Rik,1.0,,1.0,,10.0,2.0,,6.0,9.0,4.0,,4.0
chr1,B3galt2,27.0,34.0,36.0,34.0,42.0,37.0,35.0,34.0,40.0,33.0,33.0,35.0
chr1,B3gat2,23.0,23.0,23.0,31.0,30.0,23.0,28.0,25.0,32.0,23.0,25.0,24.0
chr1,B4galt3,7.0,9.0,8.0,8.0,13.0,10.0,9.0,7.0,9.0,7.0,8.0,7.0
chr1,BC034090,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0
chr1,Bag2,15.0,16.0,16.0,16.0,18.0,15.0,16.0,15.0,16.0,16.0,15.0,16.0
chr1,Bcl2,36.0,40.0,41.0,41.0,51.0,43.0,41.0,35.0,41.0,38.0,37.0,43.0
chr1,Bcs1l,12.0,17.0,16.0,15.0,22.0,15.0,16.0,15.0,16.0,16.0,15.0,19.0
chr1,Bend6,35.0,35.0,38.0,32.0,124.0,34.0,30.0,33.0,36.0,28.0,40.0,42.0
chr1,Bivm,30.0,29.0,32.0,30.0,48.0,31.0,31.0,31.0,38.0,35.0,29.0,32.0
chr1,Blzf1,5.0,7.0,5.0,6.0,10.0,7.0,6.0,7.0,8.0,7.0,5.0,6.0
chr1,Bmpr2,54.0,53.0,56.0,59.0,63.0,51.0,53.0,56.0,57.0,53.0,59.0,54.0
chr1,Bok,18.0,10.0,30.0,14.0,19.0,7.0,19.0,13.0,12.0,23.0,10.0,8.0
chr1,Bpnt1,7.0,3.0,5.0,2.0,23.0,4.0,4.0,5.0,17.0,2.0,4.0,6.0
chr1,Brinp2,75.0,63.0,48.0,38.0,232.0,49.0,41.0,40.0,74.0,43.0,81.0,70.0
chr1,Brinp3,12.0,11.0,12.0,11.0,95.0,11.0,11.0,10.0,15.0,9.0,11.0,14.0
chr1,Btg2,14.0,15.0,15.0,18.0,15.0,15.0,15.0,15.0,19.0,15.0,15.0,15.0
chr1,Bzw1,7.0,9.0,9.0,15.0,24.0,8.0,9.0,8.0,13.0,9.0,9.0,14.0
chr1,C130036L24Rik,5.0,,4.0,2.0,11.0,,1.0,6.0,8.0,7.0,7.0,5.0
chr1,C130074G19Rik,15.0,18.0,17.0,20.0,23.0,18.0,17.0,19.0,19.0,19.0,18.0,20.0
chr1,C1ql2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0
chr1,Cab39,12.0,15.0,14.0,12.0,39.0,9.0,15.0,11.0,24.0,10.0,17.0,13.0
chr1,Cacna1e,33.0,46.0,45.0,27.0,123.0,31.0,29.0,29.0,50.0,25.0,37.0,37.0
chr1,Cacybp,12.0,9.0,8.0,8.0,24.0,8.0,10.0,8.0,9.0,13.0,10.0,12.0
chr1,Cadm3,27.0,47.0,45.0,47.0,88.0,34.0,38.0,34.0,52.0,45.0,41.0,49.0
chr1,Camk1g,13.0,14.0,11.0,11.0,81.0,12.0,11.0,11.0,24.0,12.0,16.0,19.0
chr1,Camsap2,65.0,66.0,87.0,85.0,201.0,67.0,62.0,61.0,111.0,50.0,91.0,113.0
chr1,Capn10,15.0,13.0,15.0,12.0,32.0,11.0,14.0,10.0,18.0,12.0,15.0,16.0
chr1,Capn2,15.0,16.0,21.0,16.0,53.0,15.0,20.0,13.0,30.0,11.0,14.0,29.0
chr1,Carf,25.0,49.0,58.0,41.0,97.0,37.0,47.0,31.0,62.0,46.0,48.0,55.0
chr1,Casp8,1.0,,2.0,7.0,4.0,2.0,1.0,2.0,5.0,2.0,,4.0
chr1,Catspere1,2.0,2.0,3.0,3.0,8.0,3.0,5.0,3.0,9.0,4.0,2.0,4.0
chr1,Catspere2,13.0,17.0,20.0,13.0,53.0,19.0,11.0,15.0,35.0,10.0,14.0,25.0
chr1,Cavin2,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
chr1,Ccdc115,7.0,7.0,9.0,8.0,11.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0
chr1,Ccdc181,8.0,7.0,7.0,7.0,15.0,8.0,8.0,7.0,11.0,7.0,8.0,8.0
chr1,Ccdc190,6.0,6.0,6.0,6.0,8.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0
chr1,Ccdc93,57.0,60.0,62.0,55.0,84.0,69.0,59.0,64.0,65.0,56.0,61.0,64.0
chr1,Ccnt2,68.0,83.0,77.0,93.0,122.0,71.0,77.0,82.0,95.0,62.0,82.0,84.0
chr1,Ccnyl1,6.0,5.0,5.0,11.0,38.0,7.0,4.0,9.0,15.0,6.0,5.0,10.0
chr1,Cd34,6.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0
chr1,Cd46,1.0,7.0,13.0,10.0,27.0,8.0,9.0,7.0,14.0,3.0,10.0,10.0
chr1,Cd55,5.0,10.0,9.0,10.0,14.0,12.0,10.0,13.0,14.0,10.0,10.0,16.0
chr1,Cd84,2.0,2.0,,7.0,8.0,6.0,4.0,6.0,7.0,3.0,2.0,9.0
chr1,Cdc42bpa,118.0,167.0,173.0,179.0,308.0,102.0,141.0,171.0,219.0,154.0,173.0,214.0
chr1,Cdc73,17.0,17.0,18.0,27.0,57.0,15.0,17.0,23.0,49.0,17.0,20.0,21.0
chr1,Cdh19,18.0,19.0,20.0,22.0,20.0,19.0,19.0,20.0,19.0,19.0,19.0,20.0
chr1,Cdh20,15.0,17.0,20.0,23.0,25.0,19.0,20.0,21.0,26.0,18.0,21.0,23.0
chr1,Cdh7,7.0,7.0,14.0,18.0,34.0,26.0,15.0,16.0,28.0,20.0,11.0,22.0
chr1,Cdk18,17.0,16.0,16.0,18.0,25.0,16.0,17.0,16.0,17.0,18.0,18.0,17.0
chr1,Cdk5r2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr1,Cenpl,,,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,2.0,1.0
chr1,Cep170,28.0,37.0,42.0,47.0,107.0,32.0,40.0,38.0,73.0,31.0,49.0,59.0
chr1,Cep350,45.0,43.0,44.0,46.0,72.0,44.0,43.0,49.0,53.0,42.0,48.0,46.0
chr1,Cfap45,4.0,4.0,4.0,7.0,13.0,7.0,3.0,6.0,7.0,1.0,1.0,9.0
chr1,Cfh,11.0,18.0,18.0,18.0,20.0,18.0,18.0,20.0,20.0,20.0,17.0,18.0
chr1,Cflar,59.0,67.0,72.0,74.0,95.0,54.0,63.0,64.0,85.0,62.0,86.0,81.0
chr1,Chil1,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
chr1,Chml,12.0,21.0,34.0,32.0,37.0,36.0,34.0,29.0,37.0,35.0,36.0,37.0
chr1,Chpf,12.0,11.0,13.0,14.0,16.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0
chr1,Chst10,37.0,31.0,33.0,49.0,102.0,35.0,41.0,33.0,42.0,37.0,42.0,43.0
chr1,Clasp1,52.0,74.0,77.0,52.0,216.0,47.0,37.0,53.0,102.0,33.0,54.0,68.0
chr1,Clk1,45.0,63.0,66.0,68.0,77.0,58.0,59.0,56.0,67.0,51.0,62.0,81.0
chr1,Cnih3,48.0,23.0,29.0,22.0,186.0,43.0,27.0,22.0,27.0,27.0,26.0,24.0
chr1,Cnih4,28.0,31.0,34.0,28.0,47.0,29.0,32.0,28.0,37.0,31.0,29.0,33.0
chr1,Cnnm3,35.0,40.0,36.0,36.0,71.0,28.0,32.0,31.0,35.0,28.0,40.0,42.0
chr1,Cnnm4,6.0,6.0,7.0,7.0,18.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0
chr1,Cnot11,8.0,12.0,9.0,8.0,23.0,8.0,8.0,10.0,8.0,8.0,9.0,9.0
chr1,Cnot9,22.0,23.0,24.0,25.0,42.0,25.0,22.0,23.0,27.0,23.0,28.0,30.0
chr1,Cnppd1,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0
chr1,Cnst,26.0,28.0,25.0,36.0,41.0,24.0,29.0,29.0,28.0,26.0,27.0,31.0
chr1,Cntn2,28.0,27.0,28.0,61.0,82.0,30.0,32.0,41.0,50.0,35.0,47.0,53.0
chr1,Cntnap5a,123.0,123.0,129.0,130.0,160.0,130.0,128.0,132.0,130.0,129.0,128.0,129.0
chr1,Cntnap5b,93.0,124.0,129.0,126.0,134.0,120.0,128.0,130.0,131.0,129.0,127.0,131.0
chr1,Coa5,11.0,12.0,12.0,12.0,18.0,15.0,14.0,15.0,15.0,13.0,12.0,16.0
chr1,Col19a1,64.0,86.0,88.0,84.0,87.0,86.0,86.0,82.0,87.0,81.0,84.0,86.0
chr1,Col5a2,6.0,7.0,4.0,10.0,12.0,9.0,6.0,4.0,4.0,3.0,2.0,12.0
chr1,Colgalt2,19.0,5.0,10.0,13.0,15.0,13.0,11.0,15.0,19.0,15.0,11.0,14.0
chr1,Cop1,30.0,75.0,83.0,79.0,198.0,70.0,73.0,84.0,140.0,79.0,77.0,116.0
chr1,Copa,54.0,68.0,65.0,62.0,113.0,57.0,73.0,66.0,85.0,43.0,71.0,86.0
chr1,Cops5,8.0,35.0,29.0,30.0,61.0,41.0,38.0,34.0,51.0,22.0,32.0,45.0
chr1,Cops7b,7.0,8.0,14.0,9.0,28.0,11.0,14.0,7.0,15.0,15.0,12.0,11.0
chr1,Cops8,6.0,11.0,30.0,10.0,39.0,18.0,18.0,14.0,17.0,8.0,19.0,28.0
chr1,Cops9,,3.0,7.0,11.0,19.0,4.0,6.0,5.0,7.0,5.0,8.0,8.0
chr1,Coq10b,4.0,4.0,4.0,5.0,13.0,4.0,4.0,4.0,8.0,4.0,7.0,7.0
chr1,Coq8a,31.0,31.0,36.0,36.0,39.0,31.0,37.0,37.0,38.0,34.0,34.0,38.0
chr1,Cox20,4.0,7.0,9.0,9.0,12.0,10.0,10.0,5.0,10.0,9.0,4.0,12.0
chr1,Cox5b,5.0,15.0,15.0,14.0,19.0,15.0,13.0,12.0,16.0,11.0,11.0,17.0
chr1,Cr1l,5.0,5.0,14.0,7.0,20.0,9.0,4.0,6.0,12.0,6.0,6.0,11.0
chr1,Cracdl,131.0,186.0,217.0,216.0,301.0,137.0,157.0,172.0,255.0,182.0,154.0,227.0
chr1,Creb1,42.0,30.0,38.0,50.0,82.0,26.0,36.0,37.0,48.0,25.0,29.0,42.0
chr1,Creg1,16.0,19.0,20.0,18.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0
chr1,Creg2,63.0,62.0,61.0,60.0,93.0,65.0,63.0,66.0,75.0,67.0,65.0,68.0
chr1,Crispld1,12.0,24.0,31.0,34.0,29.0,10.0,24.0,32.0,32.0,34.0,31.0,31.0
chr1,Cryzl2,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,12.0
chr1,Cspp1,39.0,52.0,46.0,58.0,121.0,40.0,46.0,50.0,53.0,30.0,60.0,64.0
chr1,Csrp1,24.0,17.0,20.0,52.0,36.0,14.0,12.0,28.0,35.0,14.0,22.0,26.0
chr1,Ctdsp1,5.0,5.0,5.0,6.0,9.0,6.0,5.0,6.0,7.0,5.0,5.0,8.0
chr1,Cul3,22.0,38.0,39.0,57.0,158.0,18.0,28.0,25.0,77.0,26.0,39.0,68.0
chr1,Cxcr4,5.0,7.0,5.0,10.0,10.0,8.0,7.0,8.0,7.0,6.0,7.0,7.0
chr1,Cyb5r1,11.0,11.0,12.0,11.0,20.0,11.0,13.0,11.0,11.0,11.0,11.0,14.0
chr1,Cyp20a1,10.0,11.0,11.0,13.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0
chr1,Cyp27a1,4.0,2.0,5.0,14.0,7.0,3.0,5.0,6.0,12.0,3.0,,10.0
chr1,D230017M19Rik,1.0,2.0,5.0,6.0,26.0,3.0,7.0,3.0,11.0,5.0,11.0,17.0
chr1,D2hgdh,14.0,12.0,13.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0
chr1,D630023F18Rik,14.0,20.0,24.0,23.0,30.0,24.0,23.0,13.0,28.0,16.0,19.0,24.0
chr1,D730003I15Rik,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
chr1,Dars,12.0,12.0,12.0,13.0,22.0,12.0,13.0,12.0,16.0,12.0,14.0,18.0
chr1,Dars2,18.0,21.0,21.0,22.0,29.0,24.0,22.0,26.0,28.0,22.0,23.0,23.0
chr1,Dbi,11.0,17.0,19.0,32.0,41.0,14.0,19.0,12.0,19.0,14.0,20.0,25.0
chr1,Dcaf6,47.0,37.0,50.0,38.0,134.0,28.0,34.0,44.0,84.0,34.0,34.0,55.0
chr1,Dcaf8,23.0,38.0,31.0,43.0,58.0,26.0,34.0,32.0,55.0,25.0,30.0,36.0
chr1,Ddr2,38.0,52.0,52.0,64.0,61.0,46.0,50.0,63.0,64.0,56.0,42.0,64.0
chr1,Ddx18,6.0,7.0,6.0,14.0,30.0,9.0,6.0,6.0,6.0,6.0,7.0,13.0
chr1,Ddx59,12.0,11.0,12.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0
chr1,Dedd,11.0,14.0,14.0,19.0,44.0,15.0,14.0,14.0,22.0,11.0,20.0,30.0
chr1,Degs1,5.0,7.0,7.0,10.0,9.0,7.0,10.0,8.0,10.0,7.0,7.0,10.0
chr1,Dennd1b,32.0,34.0,33.0,32.0,50.0,32.0,35.0,35.0,57.0,32.0,40.0,45.0
chr1,Des,,,1.0,,2.0,1.0,,,2.0,1.0,,
chr1,Desi2,4.0,8.0,10.0,13.0,19.0,4.0,10.0,12.0,17.0,10.0,11.0,12.0
chr1,Dgkd,28.0,37.0,37.0,45.0,83.0,30.0,36.0,32.0,44.0,29.0,40.0,52.0
chr1,Dis3l2,18.0,10.0,10.0,9.0,14.0,9.0,9.0,10.0,14.0,9.0,9.0,9.0
chr1,Dnajb2,13.0,15.0,16.0,19.0,30.0,14.0,17.0,15.0,15.0,13.0,15.0,17.0
chr1,Dner,9.0,10.0,10.0,9.0,20.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0
chr1,Dnm3,57.0,51.0,70.0,78.0,128.0,44.0,45.0,66.0,101.0,45.0,58.0,57.0
chr1,Dnpep,9.0,8.0,8.0,8.0,13.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0
chr1,Dock10,55.0,59.0,107.0,139.0,121.0,27.0,49.0,111.0,99.0,87.0,45.0,70.0
chr1,Dpp10,24.0,21.0,21.0,19.0,129.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0
chr1,Dsel,28.0,29.0,30.0,30.0,30.0,30.0,29.0,30.0,29.0,29.0,30.0,30.0
chr1,Dst,192.0,187.0,233.0,235.0,523.0,177.0,166.0,216.0,276.0,166.0,223.0,259.0
chr1,Dstyk,19.0,16.0,23.0,19.0,30.0,17.0,20.0,22.0,23.0,16.0,25.0,30.0
chr1,Dtl,5.0,,,1.0,14.0,,3.0,3.0,7.0,11.0,1.0,1.0
chr1,Dtymk,7.0,8.0,9.0,9.0,11.0,11.0,9.0,8.0,9.0,6.0,8.0,9.0
chr1,Dusp10,3.0,4.0,4.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
chr1,Dusp12,44.0,50.0,51.0,50.0,79.0,45.0,54.0,49.0,57.0,38.0,51.0,69.0
chr1,Dusp23,9.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
chr1,Dusp28,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
chr1,Dyrk3,21.0,20.0,20.0,24.0,25.0,24.0,20.0,18.0,18.0,17.0,17.0,19.0
chr1,Ecrg4,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2.0,1.0,3.0
chr1,Edem3,29.0,23.0,33.0,33.0,67.0,31.0,26.0,26.0,33.0,30.0,28.0,40.0
chr1,Eef1aknmt,7.0,8.0,7.0,7.0,10.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
chr1,Eef1b2,6.0,4.0,9.0,6.0,11.0,3.0,7.0,1.0,6.0,3.0,2.0,13.0
chr1,Efcab2,13.0,11.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,12.0,15.0
chr1,Efhd1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
chr1,Eif2d,19.0,20.0,19.0,18.0,42.0,14.0,23.0,14.0,26.0,13.0,16.0,25.0
chr1,Eif4e2,36.0,49.0,51.0,50.0,88.0,44.0,58.0,49.0,66.0,38.0,60.0,65.0
chr1,Eif5b,20.0,19.0,24.0,21.0,48.0,23.0,27.0,27.0,31.0,26.0,24.0,25.0
chr1,Elk4,18.0,19.0,21.0,19.0,21.0,19.0,19.0,19.0,22.0,19.0,18.0,18.0
chr1,Eloc,8.0,6.0,9.0,14.0,31.0,6.0,11.0,11.0,16.0,11.0,8.0,13.0
chr1,Enah,105.0,134.0,152.0,124.0,289.0,91.0,104.0,104.0,172.0,118.0,132.0,167.0
chr1,Epb41l5,30.0,29.0,37.0,43.0,48.0,39.0,39.0,40.0,44.0,36.0,38.0,42.0
chr1,Epha4,122.0,234.0,195.0,270.0,252.0,98.0,150.0,286.0,377.0,294.0,230.0,217.0
chr1,Ephx1,7.0,8.0,8.0,12.0,16.0,7.0,7.0,9.0,12.0,7.0,7.0,10.0
chr1,Eprs,5.0,6.0,7.0,7.0,29.0,2.0,2.0,3.0,17.0,2.0,4.0,8.0
chr1,Erbb4,77.0,57.0,58.0,52.0,386.0,41.0,38.0,46.0,109.0,38.0,48.0,55.0
