Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
Ltv1,527,703,844,1068,1457,925,833,846,1294,678,811,1121
Luc7l,5463,5858,7620,7605,12893,7592,8653,7921,10847,6982,6986,8852
Luc7l2,7407,9264,11815,12166,19140,9965,12419,12660,16510,11240,11067,14464
Luc7l3,2171,3585,4036,4241,8219,3965,4797,4026,4750,3623,3644,5214
Lum,146,460,368,743,629,541,294,329,932,116,473,766
Lurap1,677,441,713,820,1162,603,751,654,1045,680,497,872
Lurap1l,1956,1701,2088,1793,2233,1904,2310,2112,2903,1866,2016,2267
Luzp2,6079,7723,10652,11502,18224,9153,11601,14248,17851,15550,11374,12662
Luzp4,0,0,0,0,0,0,0,0,0,0,0,0
Lvrn,1,4,10,14,13,1,4,4,12,3,1,9
Lxn,544,1220,1407,1501,2520,1599,1437,1999,2726,1403,1542,1635
Ly6a,89,103,178,190,280,166,328,418,637,438,148,481
Ly6a2,0,0,3,0,0,0,0,0,0,0,0,0
Ly6c1,310,456,780,667,1069,623,788,722,1007,758,678,747
Ly6c2,43,49,95,65,115,66,3,3,2,2,49,1
Ly6d,0,0,0,0,4,0,0,0,0,0,1,0
Ly6e,4251,4452,5547,7266,9355,5332,7633,7074,10211,7306,4778,8119
Ly6f,0,0,0,0,0,0,0,0,0,0,0,0
Ly6g,0,0,0,0,1,0,0,0,0,1,1,0
Ly6g2,0,0,0,0,1,0,0,0,0,0,0,0
Ly6g5b,20,17,36,27,58,26,30,14,19,29,12,43
Ly6g5c,0,0,0,0,0,0,0,0,0,0,0,0
Ly6g6c,0,0,1,0,3,1,0,1,0,0,1,0
Ly6g6d,6,7,10,20,8,5,8,10,15,8,12,6
Ly6g6e,30,4,32,32,64,201,81,41,53,33,9,87
Ly6g6f,0,0,0,0,0,0,0,0,1,2,0,0
Ly6g6g,0,0,1,0,0,0,0,1,0,0,0,0
Ly6h,8836,5619,8231,7354,15131,9449,8266,5563,10411,4839,6907,9526
Ly6i,3,0,0,1,0,0,0,0,0,0,0,1
Ly6l,0,0,0,0,0,0,0,0,0,0,0,0
Ly6m,0,0,0,0,0,2,1,1,1,0,0,0
Ly75,70,81,132,120,176,70,136,116,201,126,113,140
Ly86,87,96,141,163,269,150,148,138,240,181,106,176
Ly9,2,6,3,13,17,8,15,11,19,3,3,12
Ly96,11,27,28,31,46,32,38,41,60,20,28,48
Lyar,224,184,265,266,426,246,239,278,347,215,251,303
Lyg1,0,0,0,0,0,0,0,0,0,0,0,0
Lyg2,6,6,5,19,19,11,5,17,27,6,3,11
Lyl1,42,50,69,70,132,90,112,64,119,83,61,78
Lyn,410,367,666,709,1002,606,592,604,951,774,581,930
Lynx1,13742,16173,20202,23133,29551,20071,22232,23211,36614,25208,20465,22358
Lypd1,5419,3792,6642,4999,20078,3794,5901,5398,10632,4345,4340,7979
Lypd10,0,0,0,0,0,1,0,1,0,1,0,0
Lypd11,0,0,3,3,3,0,0,2,0,0,2,1
Lypd2,4,0,1,0,9,2,1,0,3,0,1,1
Lypd3,1,0,2,0,14,0,1,0,1,0,0,1
Lypd4,0,0,3,3,0,1,0,1,0,0,1,0
Lypd5,0,1,0,0,1,0,1,0,1,0,0,1
Lypd6,548,528,1008,1189,1760,1143,976,1065,2181,1141,1195,1319
Lypd6b,153,143,92,160,311,251,245,240,281,128,141,228
Lypd8,1,0,21,10,14,5,2,4,2,4,4,5
Lypd9,0,0,0,0,0,0,0,0,0,0,0,0
Lypla1,694,1578,2030,2562,3501,2036,2236,2304,3202,2180,1865,2705
Lypla2,2483,2223,2405,2916,4351,3084,2844,2893,4609,2608,2685,3170
Lyplal1,161,179,235,325,682,332,372,401,664,222,185,468
Lyrm1,115,190,225,248,473,284,282,260,428,280,216,273
Lyrm2,404,548,670,956,1318,691,740,858,1191,746,668,859
Lyrm4,613,690,883,1097,1810,966,1020,1054,1743,989,901,1108
Lyrm7,583,1064,1460,1507,2422,1451,1419,1392,2450,1490,1325,1666
Lyrm7os,0,0,0,1,1,0,0,1,0,0,0,0
Lyrm9,1273,1400,2084,1750,3846,2119,1988,1943,3222,1807,1686,2229
Lysmd1,214,175,295,269,523,266,304,297,519,313,223,324
Lysmd2,1482,889,1349,1338,2282,1362,1504,1358,2144,1259,1411,1731
Lysmd3,386,673,991,998,1759,814,1058,1010,1507,1010,987,1184
Lysmd4,652,947,1125,1218,2101,1136,1258,1272,1985,1246,1069,1540
Lyst,6608,7396,13423,12743,16588,7386,11909,13483,17282,15079,10003,12255
Lyve1,20,34,49,56,114,55,22,27,50,39,27,44
Lyz1,6,9,14,29,32,23,28,13,42,30,14,23
Lyz2,212,221,252,369,420,302,239,310,500,391,235,411
Lyzl1,0,0,0,0,0,0,0,0,0,0,0,0
Lyzl4,36,16,18,24,97,49,54,19,23,16,39,43
Lyzl4os,0,0,0,0,2,0,0,0,0,1,0,0
Lyzl6,1,0,0,0,0,0,2,0,0,0,0,0
Lzic,446,439,506,744,1099,547,563,670,920,585,571,686
Lztfl1,1551,2622,3614,3595,6196,3611,3600,3425,5641,3397,2966,4239
Lztr1,7352,7602,9254,10495,14751,9332,9898,10422,16257,10385,9324,10789
Lzts1,4494,3077,4585,4323,11508,6097,5167,4773,7491,5449,3965,6160
Lzts2,2144,1213,1933,2004,3263,1705,1872,1557,2304,1314,1382,2011
Lzts3,9009,7520,9410,9835,15352,13541,11102,11022,15640,10336,9872,12213
M1ap,1,9,2,17,19,10,9,2,12,4,7,11
M5C1000I18Rik,595,744,755,968,1088,799,915,1249,1707,1121,924,962
M6pr,4193,4601,6316,7010,10148,6038,6597,7000,10391,6097,5900,7297
Maats1,145,133,90,418,398,188,60,245,254,50,93,259
Mab21l1,14,12,24,29,175,20,3,15,33,16,7,25
Mab21l2,0,2,1,10,5,12,1,4,2,2,1,2
Mab21l3,5,3,0,8,10,2,1,7,4,2,8,11
Mab21l4,14,17,1,46,40,2,0,17,41,4,0,19
Macc1,1,4,2,2,7,0,8,1,1,1,1,3
Macf1,34078,32378,42547,49719,75686,44220,44262,52247,78453,46428,45834,54803
Macir,2149,1925,2395,3067,4327,2453,2763,2906,3722,2670,2478,2848
Maco1,2315,2532,3700,4178,7100,3622,3878,3953,6055,3873,3351,4618
Macrod1,540,362,463,699,848,394,501,510,745,444,422,571
Macrod2,953,1434,2204,1927,3373,1794,2050,1681,3271,1976,1681,1832
Macroh2a1,2328,2303,2860,3507,5237,3227,2952,2970,4941,2785,2946,3604
Macroh2a2,534,475,647,692,1385,778,717,652,986,566,494,832
Macroh2a3,2,0,1,0,1,0,0,0,2,0,0,0
Mad1l1,797,485,587,747,1314,595,822,813,1136,868,585,844
Mad2l1,161,177,218,289,444,262,276,258,419,259,201,230
Mad2l1bp,309,199,230,343,510,282,328,330,462,268,262,323
Mad2l2,197,214,262,345,468,237,216,259,421,227,238,328
Madcam1,6,2,3,9,6,0,0,6,5,1,0,10
Madd,17135,16736,22749,24375,35056,17968,23148,23216,36430,26021,22591,23720
Maea,3442,3476,4469,5354,8249,4579,4780,5078,7882,4673,4363,5375
Mael,4,0,8,2,20,0,5,11,8,1,0,0
Maf1,2470,1721,2375,2602,4308,2524,2939,2512,3923,2470,2180,2949
Mafa,93,33,50,169,71,26,53,167,136,237,33,16
Mafb,831,507,646,734,1454,903,845,912,1182,671,669,925
Maff,29,15,23,23,53,24,31,25,17,19,30,19
Mafg,1168,1308,1615,1763,2800,1735,1639,1598,2407,1507,1614,1932
Mafk,512,399,538,564,1090,541,607,618,879,467,580,701
Mag,4838,3899,5400,11765,8059,3699,4930,7877,8613,5186,6149,6589
Magea1,0,0,0,0,0,0,0,0,0,0,3,0
Magea10,0,0,0,0,1,0,0,0,0,0,0,0
Magea2,0,0,0,0,0,0,0,0,0,0,0,0
Magea3,0,0,0,0,0,0,0,0,0,0,0,0
Magea4,0,0,0,0,0,0,0,0,0,0,0,0
Magea5,0,0,0,0,0,0,0,0,0,0,0,0
Magea6,0,0,0,0,0,0,0,0,0,0,0,0
Magea8,0,0,0,0,0,0,0,0,0,0,0,0
Mageb1,0,0,0,0,0,0,0,0,0,0,0,0
Mageb16,1,1,0,0,0,0,0,1,0,0,0,2
Mageb16-ps1,11,15,13,20,39,16,15,14,15,26,8,26
Mageb18,4,1,2,2,3,0,4,1,1,0,3,1
Mageb2,0,0,0,0,0,0,0,0,0,0,0,0
Mageb3,6,3,6,3,24,9,7,3,10,5,0,5
Mageb4,0,0,0,0,0,0,0,0,0,0,0,0
Mageb5,0,0,0,0,0,0,0,0,0,0,0,0
Maged1,25010,26105,37304,33897,57097,35587,36883,33738,55231,31681,29952,38315
Maged2,1642,1600,2077,2045,3906,2335,2268,1942,3657,1572,1726,2621
Magee1,8327,9121,13475,13562,21919,13119,13806,12832,19773,12421,11458,15377
Magef1,202,186,296,288,609,427,412,383,415,350,252,342
Magel2,141,136,356,202,1138,154,217,66,293,69,119,276
Magi1,2915,3092,4606,5688,11257,3568,3885,5292,6757,5272,4175,4873
Magi2,6546,7967,11334,11621,17411,10940,11108,13887,18704,13631,10337,12387
Magi3,3821,3732,5300,5647,10820,4260,5083,5834,8218,6666,4858,5642
Magix,13,17,11,32,18,11,26,32,24,13,5,20
Magoh,270,367,499,643,949,538,644,539,659,458,473,748
Magohb,68,84,103,117,176,170,154,164,127,94,65,194
Magt1,2035,2154,2838,3669,4475,2052,2977,3464,4887,2476,2380,2678
Maip1,429,734,887,980,1457,910,1030,1000,1568,867,764,1105
Majin,3,0,2,6,1,5,0,2,5,0,0,3
Mak,56,65,53,202,283,90,34,94,99,48,48,125
Mak16,702,740,1087,1299,1845,993,1102,1164,1570,1076,969,1237
Mal,5187,4197,6587,10785,9281,3954,5701,8575,8972,6342,6657,8102
Mal2,5567,8235,10585,10289,20975,22047,16123,15958,23524,12599,11618,17809
Malat1,164263,271904,241601,298136,379269,215842,256581,216819,208879,219993,245150,313857
Mall,3,3,13,9,2,3,0,8,25,10,15,15
Malrd1,0,2,2,1,9,3,1,3,1,2,4,0
Malsu1,417,360,404,501,749,461,489,500,691,439,470,553
Malt1,160,304,321,460,622,353,327,341,563,291,279,466
Mamdc2,392,200,149,449,741,549,485,671,954,135,91,389
Mamdc4,48,55,76,78,193,65,67,60,76,38,58,77
Maml1,886,878,1293,1356,2189,1225,1300,1458,2128,1231,1253,1619
Maml2,1288,2106,3197,3540,3616,1870,2599,3059,4682,3349,2362,3377
Maml3,606,698,1001,1434,1489,632,932,1108,1561,1578,924,944
Mamld1,1403,2050,3210,2796,4715,2969,2663,2711,4390,2525,1945,3163
Mamstr,74,93,107,89,165,90,106,75,152,77,68,134
Man1a,3329,4773,3408,5851,9152,11670,8049,9583,14068,6139,6596,8992
Man1a2,7999,8838,13288,12723,22520,11635,13287,13766,20123,14481,12174,15165
Man1b1,3559,3476,4455,4903,8434,4762,5100,4679,7561,4058,4009,5295
Man1c1,1368,1015,1549,1694,3691,2124,1580,1539,2325,1742,1451,1908
Man2a1,1427,2028,2385,2634,4194,2522,2552,2943,4560,2263,2520,3086
Man2a2,10558,10852,15461,16145,25566,13346,15040,16158,24580,14565,14283,17326
Man2b1,2257,2202,2646,3326,5003,2781,2770,2897,4608,2284,2346,3802
Man2b2,1447,1647,2007,2606,3908,1951,1746,2248,3536,1540,1655,2660
Man2c1,1918,2182,2608,2414,4510,2629,2566,2220,3951,1831,2063,3283
Man2c1os,39,37,45,59,86,37,42,59,71,34,35,62
Manba,265,277,373,493,749,394,388,450,740,354,363,519
Manbal,1350,1133,1439,1700,2371,1473,1497,1495,2355,1417,1462,1808
Manea,1418,2835,4083,4631,6952,3884,4028,4650,7113,4523,4221,5293
Maneal,2106,2478,3415,3444,5629,3275,3574,3648,5462,3599,3147,3797
Manf,1236,1254,1451,2078,3191,1820,1487,1806,2525,1788,1534,2088
Mannr,0,0,0,0,1,0,2,0,0,1,1,0
Mansc1,281,436,533,754,799,682,704,1026,1301,829,529,969
Mansc4,20,36,7,63,60,20,4,59,71,6,11,68
Maoa,1402,1693,2751,2605,4667,2305,3087,2701,4427,2659,2143,3030
Maob,952,1007,1233,1797,2356,1208,1353,1581,2266,1230,866,1530
Map10,351,328,714,562,1003,651,532,430,913,663,503,521
Map11,2268,2471,3009,3047,5037,3112,3124,3034,4552,2740,2788,3449
Map1a,91998,88884,132277,140519,193167,124788,130562,136481,209457,142246,125584,143176
Map1b,89352,102519,146597,161995,214023,124187,139734,158379,230985,168275,147257,155879
Map1lc3a,3684,3102,3831,4861,6724,3929,4138,4792,6455,4078,4001,4767
Map1lc3b,4747,5411,7124,8212,12263,6769,7737,8472,12543,8629,7312,7741
Map1s,3964,2423,3370,3445,5645,3757,3674,3377,5397,3126,3290,4049
Map2,85993,92724,146682,136886,228296,165549,148819,147578,211616,151355,136150,164872
Map2k1,11998,12619,17567,18738,25353,13178,18489,18829,26457,20637,14857,18905
Map2k2,3781,2488,2929,3210,5345,2667,3179,3073,4610,2539,2840,3353
Map2k3,543,441,512,537,1025,580,559,489,694,371,498,649
Map2k3os,33,35,23,36,52,40,28,29,39,32,19,42
Map2k4,10572,14831,20950,19400,29297,17667,21121,18848,30548,18710,17765,21378
Map2k5,1062,1427,1840,1982,2862,1732,1806,2022,2956,1742,1618,2317
Map2k6,618,737,1119,1239,1721,1053,1106,1226,1690,1319,1025,1306
Map2k7,2854,2837,3828,4339,6435,3672,3954,4286,6155,3869,3574,4633
Map3k1,648,789,902,1300,2129,1088,911,1305,1714,1101,1076,1380
Map3k10,8624,7162,8867,9708,13704,8944,9414,10054,14969,9715,8748,10570
Map3k11,1294,892,1139,1492,2143,1024,1205,1467,1802,1152,1134,1499
Map3k12,6477,5830,8192,7765,13509,7967,8256,7591,12243,7661,7352,8900
Map3k13,1542,1936,2481,2785,4372,2516,2513,3255,4763,2662,2757,3028
Map3k14,203,166,198,247,478,174,191,230,315,205,255,281
Map3k15,383,356,211,432,827,170,332,521,450,481,158,361
Map3k19,676,907,928,1742,2341,1306,887,1221,1879,719,1321,1424
Map3k2,3080,3274,4654,4549,8175,4150,5078,5459,7267,4640,4661,5503
Map3k20,1115,1311,1648,2163,2923,2010,1792,1983,2871,1753,1544,2691
Map3k21,252,216,220,303,588,186,272,291,448,201,191,362
Map3k3,1452,1763,2338,2446,3804,2252,2293,2651,3545,2340,2146,2670
Map3k4,2941,3184,4722,4666,7374,3519,4449,4767,6837,5006,3714,4863
Map3k5,2902,2377,2863,4100,7226,2552,2743,3662,4706,4308,3157,3464
Map3k6,145,116,189,94,195,59,136,44,86,90,72,154
Map3k7,2671,3170,4350,4462,7172,3966,4760,5131,6894,4364,3813,5175
Map3k7cl,2,6,8,11,24,15,4,6,8,3,4,8
Map3k8,43,63,100,119,136,88,86,88,111,122,91,134
Map3k9,4388,3978,4397,5275,9958,6317,4997,6061,9253,4987,4680,6792
Map4,39222,41681,49724,56548,75010,60091,62269,69356,99732,60577,56854,66532
Map4k1,23,25,31,37,119,35,35,35,68,20,41,62
Map4k2,1978,2989,3031,3290,5781,2767,2931,2723,4405,2565,3077,4120
Map4k3,4155,8181,10226,10934,14972,9284,10437,10710,16959,10079,9252,12541
Map4k4,6549,6745,8733,11263,13890,7841,8337,10139,14239,8432,8861,10010
Map4k5,1983,2912,3842,4491,6016,4002,3980,4201,6235,3960,3620,4579
Map6,5005,3821,5144,5931,11639,6195,5455,5868,8685,6015,5568,6078
Map6d1,1689,1972,2621,3371,3815,2223,2494,3639,4783,3234,2633,2864
Map7,3231,3451,4388,5625,7629,3398,4327,4945,6470,5171,4428,4930
Map7d1,10117,7386,10129,12257,18283,9943,10677,11246,15655,10612,9694,11686
Map7d2,5558,7323,9905,9734,14322,7777,10027,10820,16205,9819,8578,9757
Map7d3,3,1,3,7,6,0,5,7,8,4,2,10
Map9,5207,6621,9307,9802,16439,9384,10261,9938,15903,9925,8933,11404
Mapk1,23509,39445,58383,52867,77264,45340,55372,51246,76209,56432,45353,58482
Mapk10,15548,22357,27942,29386,42360,29879,29484,32525,48056,32109,28006,32360
Mapk11,847,961,985,1380,1886,935,979,1143,1744,1177,1082,1104
Mapk12,66,61,72,66,127,94,100,100,152,85,85,111
Mapk13,8,12,1,29,40,2,2,7,28,2,3,23
Mapk14,3612,3746,5298,5603,8233,4825,5304,5447,8331,5779,4913,6084
Mapk15,126,111,39,233,340,90,39,97,96,16,51,102
Mapk1ip1,625,1034,1262,1331,2198,1070,1175,1245,1900,1081,1080,1422
Mapk1ip1l,2347,2927,3955,4664,6579,3577,3908,4324,6234,3936,3637,4650
Mapk3,4699,4919,9167,6991,13230,5577,7125,6461,10748,7121,5325,7583
Mapk4,4105,3827,4096,6865,9033,5528,5173,6955,8617,5884,3883,6675
Mapk6,1518,2246,2709,3952,5841,2645,2790,3397,4933,3095,2490,3454
Mapk7,787,860,1048,1203,2036,1112,1055,1322,1488,1048,1160,1264
Mapk8,4574,7085,9886,9912,15990,9170,10524,10141,17332,10210,9173,11766
Mapk8ip1,17074,14746,19553,21647,31922,18764,20057,21053,30279,21570,19184,21802
Mapk8ip2,18031,16596,21944,22803,34822,20585,22983,22259,34554,21396,21066,23543
Mapk8ip3,19663,27375,34136,36548,59601,35277,35903,37813,59893,36676,31538,38699
Mapk9,7899,10359,13707,15454,25012,12477,13807,14821,23203,14835,12735,16504
Mapkap1,2168,2433,2739,3202,4900,3154,3123,3734,5175,3001,2743,3737
Mapkapk2,1735,1269,1774,2084,3316,2362,1825,1832,2685,1588,1589,2244
Mapkapk3,99,104,117,243,212,95,93,182,216,95,70,143
Mapkapk5,1196,1174,1527,1732,2918,1565,1739,1811,2597,1659,1623,1973
Mapkbp1,3212,3963,5080,5582,9555,5105,5095,5024,8380,4590,4454,6551
Mapre1,5006,6145,7379,9219,14083,7771,8725,9112,11824,7275,6381,9941
Mapre2,9666,14865,21938,21149,35096,19372,20255,19802,30844,20564,17752,22574
Mapre3,6575,7023,9159,9497,14745,9203,9510,8904,13928,8866,8800,10273
Mapt,19487,20430,27237,30556,45495,25219,27556,30169,42415,29883,27966,29775
Marchf1,1948,3183,4875,4027,7370,5027,5197,4807,8158,4339,3818,5428
Marchf10,17,15,38,67,108,37,43,38,64,43,42,37
Marchf11,92,64,88,135,204,113,94,125,162,107,118,105
Marchf2,1883,2057,2677,3032,4293,2482,2726,2913,4677,3070,2593,3227
Marchf3,186,148,205,198,551,416,202,170,313,134,205,307
Marchf4,955,966,1175,1584,2962,2212,1511,1860,2516,1591,1560,1954
Marchf5,2898,3600,4444,5386,7738,5082,5279,5346,7785,4988,4420,5802
Marchf6,16947,23065,33820,34953,52650,32695,37320,34771,52831,34334,28738,40068
Marchf7,1419,2696,3851,4035,6044,3570,4122,3910,6063,4323,3324,4657
Marchf8,2880,2820,4030,5376,7227,3847,3995,4370,6248,3484,3926,4932
Marchf9,891,755,1048,996,1744,1056,1001,972,1598,878,824,1280
Marcks,6524,4988,8461,8835,20831,8865,9201,8215,11347,9409,7061,10216
Marcksl1,3922,2050,4288,2835,7823,4494,4547,2953,4943,3296,2348,3770
Marcksl1-ps4,1,0,0,0,0,0,0,0,0,0,0,0
Marco,0,1,0,0,0,0,0,0,0,0,0,0
Marf1,13908,17382,26344,26929,44733,28559,25052,26911,43809,29456,26010,32872
Mark1,2949,3319,4592,4594,8723,4589,4337,4341,7028,4264,4084,5304
Mark2,6319,5531,7673,8048,13097,7355,7865,7922,12086,7716,6728,8899
Mark3,3327,4537,5986,6365,9076,5924,6393,6277,10008,6310,5429,7023
Mark4,3971,4638,5297,5868,8671,6827,6377,6378,9337,5595,5379,7227
Mars1,2030,1937,2512,2770,4549,2442,2694,2528,4271,2472,2227,3131
Mars2,673,686,891,1099,1672,977,1012,929,1484,1032,897,1110
Marveld1,413,349,585,638,1132,542,613,569,757,495,325,637
Marveld2,85,97,87,172,222,91,87,169,186,93,64,177
Marveld3,55,63,2,88,91,24,7,59,56,8,8,66
Mas1,1493,2406,3716,3709,4497,2439,2737,2808,4748,2681,3560,3925
Masp1,401,390,482,530,1033,617,554,586,1104,502,565,647
Masp2,9,136,87,126,274,23,69,15,97,49,135,107
Mast1,5286,6257,9195,7804,14211,8121,7749,6341,13191,6831,6934,9257
Mast2,7839,7880,10317,10564,18441,12119,9874,10798,18645,10650,11127,12650
Mast3,19920,22216,29226,29944,38367,25935,29422,30526,46108,30727,27946,33030
Mast4,4840,5829,8239,9679,11584,6797,7485,9435,13720,8127,7511,10070
Mastl,53,62,119,93,161,81,113,91,177,94,89,99
Mat1a,1,0,0,0,0,0,0,0,0,0,0,0
Mat2a,6354,7793,11108,10299,17867,9111,11306,10027,14372,9613,9273,11509
Mat2b,2930,3357,4446,5332,7143,4488,5330,5726,7815,5638,4261,5659
Matk,8387,5347,7048,6326,11133,6220,8547,6042,8662,6141,6067,7288
Matn1,7,5,12,4,16,8,16,3,10,3,4,11
Matn2,4581,3318,3766,4575,8246,7207,6538,4457,7816,3429,4588,6391
Matn3,0,0,0,0,2,1,0,1,3,1,1,1
Matn4,496,268,306,579,825,400,425,414,504,291,337,520
Matr3,18800,23123,32740,34343,52496,33879,39091,35916,50525,35855,30146,40701
Mau2,4908,5800,7544,7829,12679,6663,7777,7882,11162,7588,6866,8118
Mavs,348,390,518,728,973,443,357,625,830,350,378,644
Max,2445,2028,2802,2958,4711,2587,2784,3083,4254,2548,2690,3081
Maz,5968,5250,7630,7831,11767,7062,7766,7748,10350,7208,7018,8577
Mb,3,0,1,16,16,1,3,7,8,24,1,10
Mb21d2,1265,1311,1588,1779,3214,2269,2047,2155,3235,2285,1524,2106
Mbd1,2012,2277,2978,2926,5360,3007,3083,2966,4296,2632,2781,3575
Mbd2,1035,1586,2101,2480,3396,1881,2015,2390,3399,2336,1863,2442
Mbd3,2570,2039,2859,3002,5092,2985,3083,3023,4444,2735,2562,3389
Mbd3l1,0,0,0,0,0,0,0,0,0,0,0,0
Mbd3l2,0,0,0,0,0,0,0,0,0,0,0,0
Mbd4,237,248,307,342,746,526,332,394,528,384,303,408
Mbd5,3145,5763,8260,8101,13411,7037,7371,8251,13679,8766,6896,8722
Mbd6,1151,1372,1267,1437,2616,1043,1241,1230,1259,828,1159,1670
Mbip,349,559,715,765,1255,607,768,723,1163,711,667,944
Mbl1,0,0,0,0,0,0,0,0,0,0,0,0
Mbl2,0,0,0,0,1,0,0,0,0,0,0,0
Mblac1,238,176,216,284,422,254,282,233,330,211,194,262
Mblac2,941,1330,2052,1907,3623,1878,2152,2063,3036,2075,1796,2575
Mbnl1,3369,5971,8565,9551,14685,8641,8691,9634,12954,9251,8206,10592
Mbnl2,9755,14521,19569,23040,31316,18524,22305,25543,31097,25899,20129,24433
Mbnl3,14,30,27,114,107,23,7,58,36,28,48,78
Mboat1,46,74,107,189,189,85,96,168,218,82,122,172
Mboat2,1861,2405,3182,3516,5359,2920,3781,3955,5347,3999,2803,3952
Mboat4,4,8,10,8,18,7,20,4,6,5,11,5
Mboat7,4300,3347,4643,4700,9691,5072,4638,3986,6935,3883,4258,5207
Mbp,35015,34681,41132,72514,56156,35536,38105,63912,66828,45135,49209,49197
Mbtd1,1188,1648,2417,2492,4008,2258,2478,2725,3786,2572,2096,2812
Mbtps1,4066,4485,5882,6460,10330,5454,6500,6272,9525,5968,5219,7292
Mbtps2,1765,2627,3962,3951,5697,2789,3897,4061,6056,3826,3202,4059
Mc1r,2,2,2,5,3,0,2,1,1,0,2,0
Mc2r,0,0,0,0,2,0,0,0,0,0,0,0
Mc3r,16,7,0,52,63,3,1,18,29,2,0,26
Mc4r,151,353,337,261,553,541,425,298,567,201,329,449
Mc5r,33,56,55,51,108,70,44,59,112,80,51,50
Mcam,390,491,601,1442,1164,538,592,977,1344,823,828,826
Mcat,584,456,565,666,1037,570,691,566,998,507,492,661
Mcc,2186,1820,3066,3107,4872,2610,3058,2802,5014,3517,2816,3555
Mccc1,804,1041,980,1537,2312,1026,993,1253,1720,852,902,1600
Mccc1os,60,86,92,151,238,157,99,118,258,151,119,225
Mccc2,1137,939,1433,1476,2365,1092,1511,1308,2057,1286,1183,1670
Mcee,501,411,521,917,1040,502,617,698,965,525,514,713
Mcf2,287,324,448,412,833,347,471,320,790,386,400,544
Mcf2l,8330,8162,11188,10736,19057,10303,11070,10578,16428,10523,9951,12439
Mcfd2,1924,1661,2224,2459,4234,2129,2520,2599,3858,2081,2167,2677
Mchr1,929,949,1144,1103,2300,1612,1294,1187,1845,1033,1397,1389
Mcidas,7,12,30,9,40,6,28,17,30,16,13,21
Mcl1,3702,3237,4548,5012,7807,4326,4750,5252,6350,4416,4554,5342
Mcm10,13,30,18,20,57,24,16,20,62,24,24,23
Mcm2,182,195,210,370,530,260,301,342,538,299,246,322
Mcm3,104,91,144,237,267,134,170,144,228,160,176,160
Mcm3ap,3318,3538,4911,5197,8397,4727,4779,5232,8174,4740,4539,5849
Mcm4,382,423,683,735,1319,661,661,729,996,592,538,823
Mcm5,144,169,258,319,488,267,343,324,452,272,256,323
Mcm6,375,340,548,819,1020,425,571,812,1089,648,455,795
Mcm7,393,365,473,603,1013,461,547,576,815,513,404,560
Mcm8,137,173,268,267,482,196,232,279,404,186,220,325
Mcm9,215,216,362,470,711,322,350,359,568,329,266,477
Mcmbp,1059,1580,2530,2465,4019,2165,2238,2551,3499,2283,2093,2709
Mcmdc2,83,95,147,144,227,65,219,159,241,118,123,132
Mcoln1,1453,1843,2414,2484,4453,2452,2433,2254,3663,1987,2275,2916
Mcoln2,1,2,0,3,0,2,1,0,0,1,0,1
Mcoln3,0,0,0,5,4,0,1,0,4,0,0,3
Mcph1,878,934,1283,1227,2035,1189,1367,1339,2081,1222,1163,1413
Mcpt-ps1,0,0,0,0,0,0,0,0,1,1,0,1
Mcpt1,0,0,1,0,0,0,0,0,1,0,0,0
Mcpt2,0,0,0,0,0,0,0,0,0,0,0,0
Mcpt4,1,0,0,0,0,0,0,0,4,4,0,0
Mcpt8,0,0,0,0,0,0,0,0,1,0,0,0
Mcpt9,1,0,0,0,1,0,0,0,0,0,0,0
Mcrip1,2020,1319,1740,1921,3116,1755,1922,1810,2855,1655,1634,2163
Mcrip2,311,174,211,285,436,269,204,234,292,147,204,345
Mcrs1,2707,2094,2663,2988,4556,2670,2923,2905,4881,2994,2574,3218
Mctp1,5307,5583,9721,8353,12080,5982,9807,7972,11884,10803,7652,9221
Mctp2,106,158,338,170,461,325,298,318,333,280,334,349
Mcts1,1056,1320,1879,1813,2641,1684,2140,1942,2761,2037,1592,2036
Mcts2,124,280,361,327,699,371,364,365,521,320,336,462
Mcu,2167,2836,3789,4083,5084,3198,3670,3623,6004,3745,3451,4226
Mcub,66,117,127,140,179,278,125,108,240,105,132,199
Mcur1,1394,1833,2236,2524,3357,1659,2256,2577,3864,2393,2169,2745
Mdc1,620,788,1000,1296,1785,1040,957,1279,1631,956,924,1178
Mdfi,6,3,5,7,16,4,6,3,6,8,3,5
Mdfic,430,620,298,1715,1573,515,371,1022,1423,467,307,1233
Mdga1,5142,5872,4733,6743,11480,8986,7332,9428,12984,7188,7855,6011
Mdga2,3286,3838,5484,5260,10632,5517,6007,5803,9059,5529,5171,7079
Mdh1,14954,16716,20223,24004,31610,21098,23192,22442,31533,20521,19183,25853
Mdh1b,54,61,20,139,143,82,31,61,84,31,54,98
Mdh2,8116,7980,10816,11031,15768,10275,11324,10395,15662,9667,9720,12524
Mdk,517,255,408,394,778,441,382,444,643,416,303,417
Mdm1,285,300,350,512,778,429,341,415,553,242,342,491
Mdm2,2399,2269,2903,3689,5197,2447,2972,3391,4466,3055,2719,3574
Mdm4,3846,5498,6816,7528,11817,6593,6595,7666,10450,6813,6628,8034
Mdn1,5512,5663,7317,7866,13563,7158,6941,7634,11424,6755,7652,8607
